schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic_log1p,10,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,7.7480786767187,0.5852913255262988,395
condmarg,entropic_log1p,10,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,7.7480786767187,0.5852913255262988,395
condmarg,entropic_log1p,10,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,395
condmarg,entropic_log1p,10,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,3.2918927529897495,0.1915631318635544,395
condmarg,entropic_log1p,10,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,88.83742986051344,0.8584515668896519,395
condmarg,entropic,25,All,Medium,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,86.01746783679044,1.250152570530448,395
condmarg,entropic,25,All,Medium,Entropic,Entropic · cond-marg,diversity,Diversity,higher,2.1893832495601115,0.3239778233256583,395
condmarg,entropic,25,All,Medium,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,2.1893832495601115,0.3239778233256583,395
condmarg,entropic,25,All,Medium,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,395
condmarg,entropic,25,All,Medium,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,8.253663220341448,0.47925678926499193,395
condmarg,entropic,25,All,Medium,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.59365844378885,1.0406461004964311,395
condmarg,entropic_log1p,25,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,97.59545241730123,0.060633999357598174,395
condmarg,entropic_log1p,25,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,8.903195521499537,0.6308045750301398,395
condmarg,entropic_log1p,25,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,8.903195521499537,0.6308045750301398,395
condmarg,entropic_log1p,25,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,395
condmarg,entropic_log1p,25,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,8.230742840816067,0.4794677845360667,395
condmarg,entropic_log1p,25,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,89.67191341545015,0.7498085736864096,395
condmarg,entropic,5,All,Large,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,97.90917240142822,0.14188480188338803,150
condmarg,entropic,5,All,Large,Entropic,Entropic · cond-marg,diversity,Diversity,higher,4.418209617932638,0.7020038745030929,150
condmarg,entropic,5,All,Large,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,4.418209617932638,0.7020038745030929,150
condmarg,entropic,5,All,Large,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,150
condmarg,entropic,5,All,Large,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,10.895607939638042,0.7878914467079551,150
condmarg,entropic,5,All,Large,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,90.23724054718016,0.7022728054869173,150
