id,model,scheduler,n_steps,mode,seed,domain,n_samples,infer_seconds,fid,fid_backend,fid_pixel,fid_inception,fid_inception_error,sample_mean,sample_std,scheduler_base,entropy_variant,entropy_mode,entropy_rate_source,entropy_seconds,sampling_seconds,sigma_lt_1_count,sigma_lt_0p1_count,sigma_max_jump,sigma_last_jump,rank_seed,experiment_path,dataset,dataset_path,batch_index,sample_name,seq_len,protein_size_bin,schedule_group,requested_entropy_mode,sample_index,infer_seconds_per_output,rmsd_mean,rmsd_std,diversity,plddt_mean,plddt_std,invalid_structures,n_outputs,entropy_curve_mode,tm_score,n_preds_tm,run_id
edm_sigmoid_25_ode_heun_314,edm,sigmoid,25,ode_heun,314,image,64.0,1.3483759993687272,172.2403320893694,clean-fid+pixel,0.0028267009183764,172.2403320893694,,-0.0413244999945163,0.5231424570083618,sigmoid,,,,0.0,1.3483759993687272,14.0,12.0,13.099075500722076,-3.2577603226483735e-05,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_10_ode_heun_42,edm,entropic,10,ode_heun,42,image,64.0,0.5238065710291266,282.1717496226119,clean-fid+pixel,0.0775895491242408,282.1717496226119,,-0.0259022172540426,0.3441348075866699,entropic,control,empirical_hutchinson,,0.0,0.5238065710291266,1.0,1.0,10.33121231638252,-6.866268970234385,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_25_ode_heun_2718,edm,entropic,25,ode_heun,2718,image,64.0,1.3483516676351428,226.51838403269912,clean-fid+pixel,0.0080306651070714,226.51838403269912,,-0.0700627490878105,0.4590146839618683,entropic,control,empirical_hutchinson,,0.0,1.3483516676351428,1.0,1.0,4.304633940989135,-2.64250450335594,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_10_ode_heun_123,edm,entropic_log1p,10,ode_heun,123,image,64.0,0.5238534649834037,170.25937482110214,clean-fid+pixel,0.0020468663424253,170.25937482110214,,-0.0493615306913852,0.5272441506385803,entropic,log1p,empirical_hutchinson,,0.0,0.5238534649834037,5.0,3.0,40.84847011004621,-0.009205488877502,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_power_2_5_ode_heun_7,edm,power_2,5,ode_heun,7,image,64.0,0.2507469598203897,312.20348491637503,clean-fid+pixel,12.12511157989502,312.20348491637503,,0.0834205523133277,2.4854135513305664,power_2,,,,0.0,0.2507469598203897,4.0,4.0,78.23660993304816,-0.0010557118284467,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_power_2_10_ode_heun_314,edm,power_2,10,ode_heun,314,image,64.0,0.5236623547971249,188.59728123542777,clean-fid+pixel,0.1387396603822708,188.59728123542777,,-0.0592502057552337,0.7160935401916504,power_2,,,,0.0,0.5236623547971249,8.0,7.0,69.31686814509338,-0.0002235689227249,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_5_ode_heun_2718,edm,linear,5,ode_heun,2718,image,64.0,0.7371607646346092,204.465382298112,clean-fid+pixel,0.311511218547821,204.465382298112,,-0.1131162270903587,0.8174043893814087,linear,,,,0.0,0.7371607646346092,3.0,2.0,70.39100452814854,-0.0146510641480374,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_25_ode_heun_123,edm,linear,25,ode_heun,123,image,64.0,1.3515981305390596,169.42350239182565,clean-fid+pixel,0.0002730237029027,169.42350239182565,,-0.0483576953411102,0.4960864186286926,linear,,,,0.0,1.3515981305390596,15.0,10.0,27.63904157764376,-0.0010557118284467,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_10_ode_heun_7,edm,cosine,10,ode_heun,7,image,64.0,0.5299234567210078,174.00028072794322,clean-fid+pixel,0.0242217183113098,174.00028072794322,,-0.0469758063554763,0.5879071950912476,cosine,,,,0.0,0.5299234567210078,6.0,5.0,32.44370680376795,-0.0006881957717571,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_25_ode_heun_314,edm,cosine,25,ode_heun,314,image,64.0,1.3517963904887438,170.80517575660383,clean-fid+pixel,0.0015727523714303,170.80517575660383,,-0.0406807027757167,0.5008434653282166,cosine,,,,0.0,1.3517963904887438,14.0,11.0,13.503511527100189,-0.0001184551871679,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_10_ode_heun_42,edm,sigmoid,10,ode_heun,42,image,64.0,0.5250417850911617,213.04051007985112,clean-fid+pixel,0.2400722056627273,213.04051007985112,,-0.0201704502105712,0.7808566689491272,sigmoid,,,,0.0,0.5250417850911617,6.0,5.0,28.0018597293226,-0.0001249348288935,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_25_ode_heun_2718,edm,sigmoid,25,ode_heun,2718,image,64.0,1.3517218343913555,170.88996223130124,clean-fid+pixel,0.0124064609408378,170.88996223130124,,-0.0732592940330505,0.559154748916626,sigmoid,,,,0.0,1.3517218343913555,14.0,12.0,13.099075500722076,-3.2577603226483735e-05,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_10_ode_heun_123,edm,entropic,10,ode_heun,123,image,64.0,0.5249981805682182,296.24308568131295,clean-fid+pixel,0.080620177090168,296.24308568131295,,-0.0490185469388961,0.3400442004203796,entropic,control,empirical_hutchinson,,0.0,0.5249981805682182,1.0,1.0,10.33121231638252,-6.866268970234385,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_5_ode_heun_7,edm,entropic_log1p,5,ode_heun,7,image,64.0,0.250500738620758,179.70604438795374,clean-fid+pixel,0.0823001787066459,179.70604438795374,,-0.053315233439207,0.6645041704177856,entropic,log1p,empirical_hutchinson,,0.0,0.250500738620758,3.0,2.0,61.41485988519842,-0.0494563314563352,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
